Firm,year,CASH_ASSET,SIZE,MTB,LEV,DIV,CFO,VOL,RD,LIQ,CAPEX,TANG,AGE,SG
AAL,2017,0.104755234,10.84731563,1.404986404,0.487683866,1,0.132481127,0.014344621,0,-0.217954705,0.125807456,0.968985913,57,0.050447984
CECE,2017,0.069531569,6.08347155,0.97896495,0.292174877,1,0.063995129,0.034472087,0,0.081172229,0.039044668,0.102059291,43,-0.172561395
ABT,2017,0.126032787,10.91680745,1.899808081,0.366216393,1,0.091331148,0.00221471,0.081599124,0.021311475,0.077639344,0.200196721,57,0.313480075
ACET,2017,0.055602807,6.945229275,0.909268599,0.340657975,1,0.065672303,0.044637753,0.012373143,0.183998035,0.023696162,0.029508345,49,0.142865839
ACU,2017,0.081391092,4.742581542,1.252885906,0.413387954,1,0.093183997,0.017556873,0.005760245,0.450597054,0.092547721,0.23736599,49,0.047971487
AE,2017,0.386952431,5.644400414,1.128629238,0.005974447,1,0.053416294,0.0333945,0,0.023678476,-0.179597742,0.446672138,42,0.202375539
AEM,2017,0.097525161,8.970254227,1.734630958,0.175088719,1,0.118013614,0.013719141,0,0.045847609,0.212311812,1.275598902,44,0.04881229
APD,2017,0.199142263,9.823751465,2.393823194,0.21458586,1,0.136815543,0.023343509,0.007059456,-0.015698103,0.012102539,1.058514556,57,-0.140355298
ALK,2017,0.150931099,9.281730368,1.495829992,0.239199255,1,0.162942272,0.014605573,0,-0.202513966,0.097951583,0.863594041,57,0.337548474
MATX,2017,0.008809789,7.717573766,1.262513904,0.381357063,1,0.097575083,0.013625504,0,-0.017842047,0.173704116,1.087519466,55,0.054233622
AGMJF,2017,0.062583501,7.00332906,0.961750157,0.265388216,1,0.084218706,0.012638129,0,-0.032798626,0.171594761,1.201879504,57,0.188838283
ALCO,2017,0.008099107,6.038305193,1.196595989,0.440641535,1,0.032107772,0.036845035,0,0.112387937,-0.036649952,1.030053771,55,-0.099635219
HES,2017,0.209717895,10.04810724,1.168986387,0.301877812,1,-0.094539633,0.094223723,0,-0.048676012,-0.376975362,1.406368986,48,0.147837043
ABM,2017,0.016471699,8.24606665,1.28722477,0.30902796,1,0.04490374,0.022772232,0,0.108823375,0.027382888,0.073309553,55,0.060042374
AMS,2017,0.043007426,4.063472899,0.844781611,0.397810094,0,0.188067244,0.001651124,0,-0.044966997,0.032281353,1.7216206,34,0.045775401
AVD,2017,0.021167232,6.283372677,1.523408023,0.144673557,1,0.081690914,0.002867367,0.023813749,0.219092145,0.03328093,0.251002629,43,0.137559153
AME,2017,0.082900807,8.96137427,2.632489956,0.278895735,1,0.143996637,0.001524037,0.030324383,0.019200971,0.035921716,0.161782664,57,0.119810567
AMGN,2017,0.521274733,10.91680745,2.255091428,0.442029167,1,0.15573955,0.000814707,0.155893037,-0.015283788,0.026352653,0.157327964,34,-0.00617633
AP,2017,0.036598367,6.337885347,0.989984777,0.112052886,1,0.021387944,0.007366352,0.007830694,0.132383544,0.078149007,0.766182401,57,0.302938535
ADI,2017,0.04956357,9.958983469,2.07174722,0.37136251,1,0.100188333,0.041472463,0.189642963,-0.013851186,0.057310021,0.156302022,49,0.492806911
ANDR,2017,0.595092025,0.670901572,2.501899796,0.608384458,0,-0.509202454,0.136683379,0.117079493,0.009713701,0.049591002,0.284764826,57,0.938581798
ANDE,2017,0.016148605,7.678952722,1.03164609,0.240591504,1,0.059555928,0.006822441,0,0.104319644,0.048481886,0.595811324,34,-0.060753569
NBR,2017,0.043485681,9.036223147,0.909265871,0.479404269,1,0.064590697,0.007736876,0.019915493,0.019339956,0.144735458,1.657924723,48,0.151018992
APA,2017,0.076087948,9.995245978,1.395398235,0.387008485,1,0.151628501,0.030160832,0,-0.023127452,-0.031520847,1.979837606,57,0.071734675
AAPL,2017,0.197647868,10.91680745,2.954230922,0.308217809,1,0.188490324,0.018994681,0.050520429,-0.123494947,0.06189668,0.200032506,37,0.065753565
AMAT,2017,0.374684587,9.874007247,3.308986045,0.273134559,1,0.220299706,0.032269242,0.122033432,0.078634327,0.034759771,0.170503116,45,0.342909931
ATU,2017,0.151336724,7.324460315,1.666739818,0.370439466,1,0.082444766,0.018383945,0.019985691,0.025327712,0.002977016,0.178826663,43,-0.046655241
TREC,2017,0.009250716,5.790956616,1.438329066,0.302701283,0,0.088789158,0.00617002,0,0.069328437,0.187754715,0.750230657,41,0.154162684
ADM,2017,0.140880314,10.59570931,1.100381853,0.187498436,1,0.060981408,0.002450673,0.002120734,0.043164928,0.055551385,0.620398869,57,-0.024347993
ARCB,2017,0.135594201,7.219379194,1.194275802,0.196917784,1,0.116458864,0.006767852,0,-0.047899851,0.151974055,1.066293411,55,0.046751023
ARW,2017,0.044347414,9.708859116,1.12754168,0.199835338,0,0.072547947,0.003020945,0,0.22663854,0.009816369,0.091373228,57,0.125381502
ARTW,2017,0.008695652,3.193763124,0.85284007,0.222846596,0,-0.038966366,0.034976666,0.008834178,0.376168991,0.034987695,0.815996719,45,-0.039103813
ASH,2017,0.069157577,9.061608318,1.117010907,0.327106057,1,0.062891622,0.022396693,0.025460123,0.039336273,-0.034578789,0.436528197,57,-0.341147939
ALOT,2017,0.095558117,4.806583333,1.246006557,0.189235813,1,0.073099343,0.027012666,0.065722524,0.214041026,0.053085118,0.350551454,37,0.151887291
ATRO,2017,0.024341129,6.601170334,2.131601427,0.369270717,0,0.099186636,0.044808037,0.152130467,0.264314714,0.058330933,0.283572659,43,-0.013676647
ADP,2017,0.074868209,10.52352626,2.295657612,0.054066703,1,0.073211404,0.010846115,0.05068741,0.001592254,0.013628295,0.054636902,55,0.061022644
AVY,2017,0.051607,8.544205064,2.764266059,0.30790944,1,0.168097491,0.006188421,0.014121987,0.00019467,0.100060348,0.584185014,57,0.086634355
AVT,2017,0.115232718,9.179838792,0.968493636,0.18344334,1,0.077753294,0.007520005,0,0.408504628,-0.010118882,0.122404671,57,-0.334842007
BTI,2017,0.023795009,10.91680745,1.374134619,0.350614728,1,0.053879096,0.063186171,0.00394244,-0.034983487,0.016526586,0.058076547,41,0.508549338
BMI,2017,0.02849944,5.970565169,3.844930781,0.113727162,1,0.197275143,0.003423482,0.026329391,0.138744585,0.084658448,0.542431336,54,0.022041289
BCPC,2017,0.041941148,6.87071363,3.038042373,0.227226878,1,0.146911282,0.002480052,0.015644177,0.052430586,0.087637863,0.296467753,43,0.075172992
BLL,2017,0.026675986,9.750860711,1.541790195,0.406022482,1,0.102044382,0.012520236,0.002458345,-0.04700332,0.086376609,0.430193954,45,0.212117868
B,2017,0.061414811,7.768836004,1.89482637,0.225130996,1,0.127954497,0.002018657,0.010278462,0.13005365,0.068927547,0.353102824,57,0.167169881
ABX,2017,0.088272483,10.13887583,1.300077809,0.253793267,1,0.170301881,0.005807469,0,0.027777778,0.080211791,1.98170539,34,-0.021500351
BSET,2017,0.262381361,5.682722257,1.722690197,0.012711576,1,0.141029045,0.000608013,0,-0.003567684,0.061685526,0.791392622,52,0.047368519
